#;Nombre Agencia;Agencia;TIPO;Domicilio;Localidad;Latitud;Longitud;Telefono
1823; La Esperanza;029-000;AGENCIA;Chacabuco 374;LA TOMA;-33,053174;-65,626472;0266-154-568579
1806;La Fortuna-Ta;028-000;AGENCIA;Rivadavia 07;CANDELARIA;-32,058052;-65,827277;2664719203
1805; El Chupino;027-000;AGENCIA;Pueyrredon 593;QUINES;-32,231981;-65,804516;266-154364249
1801;San Elias;023-000;AGENCIA;Saavedra 981;QUINES;-32,235502;-65,800932;2651-470266
1800;El Vaguito;021-000;AGENCIA;Pringles 334;NASCHEL;-32,916469;-65,374206; 2664302653  - 4443693
1798;El Niño Cantor;018-000;AGENCIA;Edison 36;VILLA MERCEDES;-33,683895;-65,464882;2657-15522557 
1797;Santa Rita ;016-000;AGENCIA;Av. Fuerza Aerea, 2698 y Epidio Gonzalez;SAN LUIS;-33,277144;-66,343828;2664-653935
1790;La Quinielisima;015-000;AGENCIA;Pte. Peron 390;SAN LUIS;-33,304983;-66,325538;266-4447096 
1786;El Walter;010-000;AGENCIA;Av Lafinur 36;SAN LUIS;-33,313386;-66,343686;2664-888620 
1784;La Millonaria;007-000;AGENCIA;Riobamba 1750;SAN LUIS;-33,287203;-66,315742;266-4412410 / 572759
1782;El Trebol;006-000;AGENCIA;Hipolito Irigoyen 402;JUSTO DARACT;-33,858755;-65,180904;2657-646602
1779;Mis Angeles;003-000;AGENCIA;Belgrano 956;SAN LUIS;-33,304181;-66,336481;266-154582795 
1778;La Mascota;002-000;AGENCIA;Rivadavia 865;SAN LUIS;-33,300602;-66,336596;2664-583008
1747;El Cisne;001-000;AGENCIA;Bo 134 Viv Mza 292 Casa 3;SAN LUIS;-33,266893;-66,306936;2664583911 -  4470310
